Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,031642560862726","0,000151985737169899","-3,54727825915968E-05",0,0,0,"15,2604761162792","0,362532075983862","1,01507506261283E-05","-5,72479280827102E-06","0,191395013221926","6,58963795165531E-06","0,191384275822677",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/base_link.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/base_link.STL,,BS_T_001_003_000-1/BS_T_001_003_003-1;BS_T_001_003_000-1/BS_T_001_003_002-1;maedler_66555762-1,Frame_Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_passive_linear_vertical,"0,00248453696671044","0,000697283718244927","-0,191114350260711",0,0,0,"1,24650058624133","0,00643726592028102","-2,84187980992248E-07","9,90716704422938E-07","0,00643816549248554","2,78167562497468E-07","0,001150586830382",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_vertical.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_vertical.STL,,BS_T_002_001_001-2;BLDC-Stack_mit_Bolzen_003-2;BS_T_001_003_000-1/BS_T_001_003_001-1;BS_T_001_003_000-1/BS_T_001_003_005-2;BS_T_001_003_004-2;MU7S-49-64N_42.SLDPRT-2/iC-MU_Träger_Limes-2014-1,Frame_Passive_Linear_1,Achse1,joint_passive_linear_1,prismatic,"0,37",0,0,0,"1,5707963267949",0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_yaw,"6,21004183637838E-05","2,57503446451324E-08","-0,053410010726096",0,0,0,"0,592796251654104","0,000452135764949002","7,9512408514273E-11","-3,14302589033665E-09","0,000391344914456049","-1,7406445597465E-14","0,000200072285400866",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_yaw.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_yaw.STL,,BS_T_001_002_000-1/BS_T_001_002_003-1;BS_T_001_002_000-1/BS_T_001_002_002-1;BS_T_001_002_000-1/BS_T_001_002_001-1;BS_T_001_002_000-1/BS_T_001_002_001-2;BS_T_001_003_004-1;MU7S-25-32N_20_Marc.SLDPRT-1/iC-MU_Träger_Limes-2014-1,Frame_Passive_Linear_1,Achse1,joint_yaw,continuous,0,0,0,0,0,0,link_passive_linear_vertical,0,0,1,,,,,,,,,,,,
link_pitch,"0,000509374570132799","-0,000349729012141437","0,00183612370207631",0,0,0,"0,411507158674437","0,000261928302410907","1,40459809007165E-07","-6,83115985111163E-08","0,000369405505049027","1,17980840251276E-06","0,000323308628548589",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_pitch.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_pitch.STL,,BS_T_001_004_000-1/BS_T_001_004_005-1;BS_T_001_004_000-1/maedler_66555711-2;BS_T_001_004_000-1/maedler_66555711-4;MU7S-25-32N_20_Marc.SLDPRT-1/MU7S 25-32N_Carrier_4-1,Frame_Passive_Linear_1,Achse2,joint_pitch,revolute,0,0,0,0,0,0,link_yaw,1,0,0,0,0,0,0,,,,,,,,
link_passive_linear_2,"-0,000217203966542123","-6,07745801403516E-06","-1,10774775825784",0,0,0,"1,31966574710553","0,0764345932620486","-1,02667645027727E-08","-6,30537122049828E-07","0,0764342419604743","-1,63255910712364E-08","0,000366746910307528",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_2.STL,1,1,1,1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_2.STL,,BS_T_001_004_000-1/BS_T_001_001_000-1/BS_T_001_001_001-1;BS_T_001_004_000-1/BS_T_001_001_000-1/BS_T_001_001_002-1;BS_T_001_004_000-1/BS_T_001_001_000-1/maedler_66555711-1;BS_T_001_004_000-1/BS_T_001_004_004-1;BS_T_001_004_000-1/maedler_623890306-1,Frame_Passive_Linear_2,Achse3,joint_passive_linear_2,prismatic,0,"1,33",0,"1,5708","-1,5708",0,link_pitch,0,0,-1,0,0,0,0,,,,,,,,
link_passive_linear_3,"-0,000630879735210643","-8,42278128329298E-06","-0,643003931001163",0,0,0,"0,487068905970872","0,0714338898755578","-5,35095283835704E-09","-6,24740600982807E-07","0,071434291719974","-8,30173540300396E-09","0,000176713763058886",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_3.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_3.STL,,BS_T_001_004_000-1/BS_T_001_001_000-2/BS_T_001_001_002-1;BS_T_001_004_000-1/BS_T_001_001_000-2/BS_T_001_001_001-1;BS_T_001_004_000-1/BS_T_001_001_000-2/maedler_66555711-1,Frame_Passive_Linear_3,Achse3,joint_passive_linear_3,prismatic,0,0,"0,05",0,0,0,link_passive_linear_2,0,0,-1,0,0,0,0,,,,,,,,
link_passive_linear_4,"-0,000674049658381637","-5,2876073195846E-05","-0,661469333744277",0,0,0,"0,454735171291637","0,0705962154105869","-3,18005339284799E-08","-6,20701982845532E-07","0,0705966184850389","-4,86565019728598E-08","0,000136210853568098",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_4.STL,1,1,1,1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_4.STL,,BS_T_001_004_000-1/BS_T_001_001_000-3/BS_T_001_001_001-1;BS_T_001_004_000-1/BS_T_001_001_000-3/BS_T_001_001_002-1;BS_T_001_004_000-1/BS_T_001_001_000-3/maedler_66555711-1,Frame_Passive_Linear_4,Achse3,joint_passive_linear_4,prismatic,0,0,"0,05",0,0,0,link_passive_linear_3,0,0,-1,0,0,0,0,,,,,,,,
link_passive_linear_5,"4,9981E-05","-0,00076369","-0,66731",0,0,0,"0,38654","0,060096","-6,7882E-07","2,2951E-07","0,060096","1,9755E-07","9,8523E-05",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_5.STL,1,1,1,1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_passive_linear_5.STL,,BS_T_001_004_000-1/BS_T_001_001_001-1;BS_T_001_004_000-1/BS_T_001_004_001-1;BS_T_001_004_000-1/BS_T_001_004_003-2;BS_T_001_003_004-4;MU7S-49-64N_42.SLDPRT-1/iC-MU_Träger_Limes-2014-1;BS_T_001_004_000-1/maedler_66555711-1,Frame_Endeffektor,Achse3,joint_passive_linear_5,prismatic,0,0,"0,034",0,0,0,link_passive_linear_4,0,0,-1,0,0,0,0,,,,,,,,
link_endeffektor_roll,"3,8858E-16","9,2701E-14","-0,01895",0,0,0,"0,1254","5,4434E-05","2,9123E-21","8,9585E-21","5,4434E-05","5,1317E-20","3,4683E-05",0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_endeffektor_roll.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://BS_T_001_000_000/meshes/link_endeffektor_roll.STL,,BS_T_001_004_000-1/BS_T_001_004_002-1;BS_T_001_004_000-1/BS_T_001_004_006-1;BS_T_001_004_007-1;MU7S-49-64N_42.SLDPRT-1/MU7S-49-64N_Carrier-1,Frame_Endeffektor,Achse3,joint_endeffektor_roll,continuous,0,0,0,0,0,0,link_passive_linear_5,0,0,-1,,,,,,,,,,,,
